Date;Rain;Temperature;RH;Dew _Point;Wind_Speed;Gust_Speed;Wind_Direction;#;PLANTA;FRUTO;INCIDENCIA;SEVERIDAD (%)
08/08/2022;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;55;PL006;5;0;0
08/08/2022;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;56;PL006;6;0;0
08/08/2022;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;57;PL006;7;0;0
08/08/2022;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;58;PL006;8;0;0
08/08/2022;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;59;PL006;9;0;0
08/08/2022;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;60;PL006;10;0;0
08/08/2022;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;61;PL007;1;0;0
08/08/2022;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;62;PL007;2;0;0
08/08/2022;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;63;PL007;3;0;0
08/08/2022;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;64;PL007;4;0;0
08/08/2022;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;65;PL007;5;0;0
08/08/2022;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;66;PL007;6;0;0
08/08/2022;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;67;PL007;7;0;0
08/08/2022;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;68;PL007;8;0;0
08/08/2022;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;69;PL007;9;0;0
08/08/2022;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;70;PL007;10;0;0
08/08/2022;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;71;PL008;1;0;0
08/08/2022;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;72;PL008;2;0;0
08/08/2022;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;73;PL008;3;0;0
08/08/2022;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;74;PL008;4;0;0
08/08/2022;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;75;PL008;5;0;0
08/08/2022;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;76;PL008;6;0;0
08/08/2022;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;77;PL008;7;0;0
08/08/2022;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;78;PL008;8;0;0
08/08/2022;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;79;PL008;9;0;0
08/08/2022;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;80;PL008;10;0;0
08/08/2022;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;81;PL009;1;0;0
08/08/2022;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;82;PL009;2;0;0
08/08/2022;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;83;PL009;3;0;0
08/08/2022;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;84;PL009;4;0;0
08/08/2022;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;85;PL009;5;0;0
08/08/2022;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;86;PL009;6;0;0
08/08/2022;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;87;PL009;7;0;0
