Rain,Temperature,RH,DewPoint,WindSpeed,GustSpeed,WindDirection,#,PLANTA,FRUTO,INCIDENCIA,SEVERIDAD (%)
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,1,1,1,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,2,1,2,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,3,1,3,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,4,1,4,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,5,1,5,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,6,1,6,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,7,1,7,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,8,1,8,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,9,1,9,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,10,1,10,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,11,2,1,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,12,2,2,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,13,2,3,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,14,2,4,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,15,2,5,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,16,2,6,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,17,2,7,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,18,2,8,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,19,2,9,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,20,2,10,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,21,3,1,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,22,3,2,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,23,3,3,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,24,3,4,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,25,3,5,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,26,3,6,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,27,3,7,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,28,3,8,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,29,3,9,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,30,3,10,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,31,4,1,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,32,4,2,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,33,4,3,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,34,4,4,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,35,4,5,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,36,4,6,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,37,4,7,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,38,4,8,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,39,4,9,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,40,4,10,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,41,5,1,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,42,5,2,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,43,5,3,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,44,5,4,0,0
0,25.6011597222222,80.9573645833333,21.5445902777778,0.0399305555555556,0.626736111111111,188.510416666667,45,5,5,0,0
