Line#;Date;;Rain (S-RGF 21246400:21256003-1), mm, PATFA1 (INIAP);Temperature (S-THC 21246400:21262596-1), *C, PATFA1 (INIAP);RH (S-THC 21246400:21262596-2), %, PATFA1 (INIAP);Dew Point (S-THC 21246400:21262596-3), *C.1, PATFA1 (INIAP);Wind Speed (S-WSB 21246400:21262656-1), m/s, PATFA1 (INIAP);Gust Speed (S-WSB 21246400:21262656-2), m/s.1, PATFA1 (INIAP);Wind Direction (S-WDA 21246400:21268488-1), *, PATFA1 (INIAP);#;PLANTA;FRUTO;INCIDENCIA;SEVERIDAD (%),Line#;Date;Rain (S-RGF 21246400:21256003-1)
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;73;PL008;3;0;0,,,,,,,,,3008;08/23/22 06:00:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;74;PL008;4;0;0,,,,,,,,,3009;08/23/22 06:05:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;75;PL008;5;0;0,,,,,,,,,3010;08/23/22 06:10:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;76;PL008;6;0;0,,,,,,,,,3011;08/23/22 06:15:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;77;PL008;7;0;0,,,,,,,,,3012;08/23/22 06:20:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;78;PL008;8;0;0,,,,,,,,,3013;08/23/22 06:25:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;79;PL008;9;0;0,,,,,,,,,3014;08/23/22 06:30:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;80;PL008;10;0;0,,,,,,,,,3015;08/23/22 06:35:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;81;PL009;1;0;0,,,,,,,,,3016;08/23/22 06:40:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;82;PL009;2;0;0,,,,,,,,,3017;08/23/22 06:45:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;83;PL009;3;0;0,,,,,,,,,3018;08/23/22 06:50:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;84;PL009;4;1;100,,,,,,,,,3019;08/23/22 06:55:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;85;PL009;5;0;0,,,,,,,,,3020;08/23/22 07:00:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;86;PL009;6;1;75,,,,,,,,,3021;08/23/22 07:05:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;87;PL009;7;1;30,,,,,,,,,3022;08/23/22 07:10:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;88;PL009;8;1;100,,,,,,,,,3023;08/23/22 07:15:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;89;PL009;9;0;0,,,,,,,,,3024;08/23/22 07:20:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;90;PL009;10;0;0,,,,,,,,,3025;08/23/22 07:25:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;91;PL010;1;0;0,,,,,,,,,3026;08/23/22 07:30:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;92;PL010;2;0;0,,,,,,,,,3027;08/23/22 07:35:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;93;PL010;3;0;0,,,,,,,,,3028;08/23/22 07:40:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;94;PL010;4;0;0,,,,,,,,,3029;08/23/22 07:45:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;95;PL010;5;0;0,,,,,,,,,3030;08/23/22 07:50:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;96;PL010;6;0;0,,,,,,,,,3031;08/23/22 07:55:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;97;PL010;7;0;0,,,,,,,,,3032;08/23/22 08:00:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;98;PL010;8;0;0,,,,,,,,,3033;08/23/22 08:05:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;99;PL010;9;0;0,,,,,,,,,3034;08/23/22 08:10:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;100;PL010;10;0;0,,,,,,,,,3035;08/23/22 08:15:00;0;23
,,,,,,,,,,,,,,,3036;08/23/22 08:20:00;;;;;;;;;;;;
,,,,,,,,,,,,,,,3037;08/23/22 08:25:00;;;;;;;;;;;;
,,,,,,,,,,,,,,,;;;;;;;;;;;;;
,,,,,,,,,,,,,,,;;;;;;;;;;;;;
,,,,,,,,,,,,,,,;;;;;;;;;;;;;
,,,,,,,,,,,,,,,;;;;;;;;;;;;;
,,,,,,,,,,,,,,,;;;;;;;;;;;;;
,,,,,,,,,,,,,,,;;;;;;;;;;;;;
